AHK runtime verification matrix
[2.0-beta.13] tests\evalscript_class.ahk = PASS
[2.0-beta.13] tests\eval_object_syntax_test.ahk = PASS
[2.0-beta.13] tests\remote_empty_object_test.ahk = PASS
[2.0-beta.13] tests\remote_empty_target_test.ahk = PASS
[2.0-beta.13] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0-beta.15 (D:\Tech\Projects\Autohotkey\v2.0-beta.15\AutoHotkey64.exe) =====
[2.0-beta.15] tests\ahk_live_cross_smoke.ahk = PASS
[2.0-beta.15] tests\ahk_live_test.ahk = PASS
[2.0-beta.15] tests\ahk_live_product_test.ahk = PASS
[2.0-beta.15] tests\ahk_live_six_test.ahk = PASS
[2.0-beta.15] tests\ahk_live_benchmark.ahk = PASS
[2.0-beta.15] tests\remote_hook_test.ahk = PASS
[2.0-beta.15] tests\evalscript_inproc.ahk = PASS
[2.0-beta.15] tests\evalscript_repeat.ahk = PASS
[2.0-beta.15] tests\evalscript_class.ahk = PASS
[2.0-beta.15] tests\eval_object_syntax_test.ahk = PASS
[2.0-beta.15] tests\remote_empty_object_test.ahk = PASS
[2.0-beta.15] tests\remote_empty_target_test.ahk = PASS
[2.0-beta.15] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0-beta.9 (D:\Tech\Projects\Autohotkey\v2.0-beta.9\AutoHotkey64.exe) =====
[2.0-beta.9] tests\ahk_live_cross_smoke.ahk = PASS
[2.0-beta.9] tests\ahk_live_test.ahk = PASS
[2.0-beta.9] tests\ahk_live_product_test.ahk = PASS
[2.0-beta.9] tests\ahk_live_six_test.ahk = PASS
[2.0-beta.9] tests\ahk_live_benchmark.ahk = PASS
[2.0-beta.9] tests\remote_hook_test.ahk = PASS
[2.0-beta.9] tests\evalscript_inproc.ahk = PASS
[2.0-beta.9] tests\evalscript_repeat.ahk = PASS
[2.0-beta.9] tests\evalscript_class.ahk = PASS
[2.0-beta.9] tests\eval_object_syntax_test.ahk = PASS
[2.0-beta.9] tests\remote_empty_object_test.ahk = PASS
[2.0-beta.9] tests\remote_empty_target_test.ahk = PASS
[2.0-beta.9] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0-rc.1 (D:\Tech\Projects\Autohotkey\v2.0-rc.1\AutoHotkey64.exe) =====
[2.0-rc.1] tests\ahk_live_cross_smoke.ahk = PASS
[2.0-rc.1] tests\ahk_live_test.ahk = PASS
[2.0-rc.1] tests\ahk_live_product_test.ahk = PASS
[2.0-rc.1] tests\ahk_live_six_test.ahk = PASS
[2.0-rc.1] tests\ahk_live_benchmark.ahk = PASS
[2.0-rc.1] tests\remote_hook_test.ahk = PASS
[2.0-rc.1] tests\evalscript_inproc.ahk = PASS
[2.0-rc.1] tests\evalscript_repeat.ahk = PASS
[2.0-rc.1] tests\evalscript_class.ahk = PASS
[2.0-rc.1] tests\eval_object_syntax_test.ahk = PASS
[2.0-rc.1] tests\remote_empty_object_test.ahk = PASS
[2.0-rc.1] tests\remote_empty_target_test.ahk = PASS
[2.0-rc.1] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0-rc.3 (D:\Tech\Projects\Autohotkey\v2.0-rc.3\AutoHotkey64.exe) =====
[2.0-rc.3] tests\ahk_live_cross_smoke.ahk = PASS
[2.0-rc.3] tests\ahk_live_test.ahk = PASS
[2.0-rc.3] tests\ahk_live_product_test.ahk = PASS
[2.0-rc.3] tests\ahk_live_six_test.ahk = PASS
[2.0-rc.3] tests\ahk_live_benchmark.ahk = PASS
[2.0-rc.3] tests\remote_hook_test.ahk = PASS
[2.0-rc.3] tests\evalscript_inproc.ahk = PASS
[2.0-rc.3] tests\evalscript_repeat.ahk = PASS
[2.0-rc.3] tests\evalscript_class.ahk = PASS
[2.0-rc.3] tests\eval_object_syntax_test.ahk = PASS
[2.0-rc.3] tests\remote_empty_object_test.ahk = PASS
[2.0-rc.3] tests\remote_empty_target_test.ahk = PASS
[2.0-rc.3] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0.0 (D:\Tech\Projects\Autohotkey\v2.0.0\AutoHotkey64.exe) =====
[2.0.0] tests\ahk_live_cross_smoke.ahk = PASS
[2.0.0] tests\ahk_live_test.ahk = PASS
[2.0.0] tests\ahk_live_product_test.ahk = PASS
[2.0.0] tests\ahk_live_six_test.ahk = PASS
[2.0.0] tests\ahk_live_benchmark.ahk = PASS
[2.0.0] tests\remote_hook_test.ahk = PASS
[2.0.0] tests\evalscript_inproc.ahk = PASS
[2.0.0] tests\evalscript_repeat.ahk = PASS
[2.0.0] tests\evalscript_class.ahk = PASS
[2.0.0] tests\eval_object_syntax_test.ahk = PASS
[2.0.0] tests\remote_empty_object_test.ahk = PASS
[2.0.0] tests\remote_empty_target_test.ahk = PASS
[2.0.0] tests\remote_deep_redirect_test.ahk = PASS

